DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
604.53432,1.724524209,13.263,1.6397,0.645330784,62.05960625
642.03432,1.73087334,10.853,0.0531,0.655178661,64.90235199
631.9853,1.732893763,11.768,2.5682,0.662403722,66.53712629
616.54412,1.734938218,15.373,0.663,0.673768805,69.34324556
609.92647,1.737219806,12.02,8.8302,0.679745397,66.75737409
605.14706,1.764612769,14.299,0.0416,0.685118727,62.39257991
619.2402,1.743701442,15.619,2.5135,0.686946102,68.2199634
637.9902,1.738138608,13.483,0.0367,0.688582426,68.62797474
662.86765,1.744469192,10.546,2.5967,0.691529135,71.51896428
632.72059,1.750235219,15.597,0.0476,0.693758527,67.91599943
617.89216,1.744161338,15.701,1.4678,0.699333373,69.87379331
610.53922,1.745308464,18.873,0.0454,0.699520099,72.15186949
625.98039,1.77276683,14.178,2.8304,0.704640975,64.84057355
672.91667,1.74732998,11.538,4.3688,0.705220984,73.27108466
612.5,1.744602666,11.291,6.469,0.707421287,70.55988426
656.86275,1.751945734,12.727,2.1072,0.710716327,73.09138467
654.16667,1.753250729,15.915,2.9607,0.711664174,71.92424629
664.21569,1.752902977,12.014,9.0295,0.724172571,75.55088892
626.59314,1.756778802,18.517,2.7636,0.725893091,74.87289883
691.66667,1.720936719,16.386,8.6977,0.726257802,78.01395222
640.68628,1.779429754,14.118,0.0389,0.727001898,67.51848361
624.63235,1.774281487,19.158,3.54,0.729380035,68.72063586
658.21079,1.755788663,12.403,4.5878,0.730050353,73.67076779
654.77941,1.763813345,12.716,8.1158,0.73380037,75.12728614
679.65686,1.762511104,15.959,1.8603,0.735749315,75.79090471
678.92157,1.731160774,13.083,0.0372,0.738625789,78.13771556
670.22059,1.76815363,15.482,0.0367,0.742377794,73.89510496
640.68628,1.78141594,19.52,2.3985,0.745745381,71.09228921
691.05392,1.769489231,16.468,2.998,0.749898582,78.09253745
697.05883,1.763368916,12.94,2.5928,0.75064828,78.93753563
669.60784,1.78732187,13.97,3.0921,0.752427106,72.87878329
604.53432,1.765450294,31.09,1.9638,0.754637559,78.27860398
640.07353,1.768559127,15.11,3.2372,0.755303127,76.79163036
680.26961,1.77510973,15.734,0.046,0.755419651,76.97539186
649.50981,1.76734408,13.373,0.0438,0.755704951,76.86698511
624.63235,1.767075028,28.033,7.5863,0.75579179,80.08724824
622.67157,1.7661833,22.023,0.0482,0.759568591,74.12676977
660.90686,1.766734484,12.743,3.0341,0.760406456,76.18295031
681.0049,1.767042121,15.285,0.0788,0.761786811,80.05870442
607.84314,1.762155251,35.363,3.0352,0.76624916,71.94136877
660.17157,1.78887822,19.596,3.0259,0.766379355,72.9128647
691.05392,1.78174251,10.93,3.6905,0.770045181,81.59254578
693.75,1.743303492,17.361,2.7073,0.77504536,80.06658898
603.18628,1.768012669,31.66,14.057,0.780576472,74.22828805
603.79902,1.76600318,32.618,8.7985,0.781284583,74.70715385
685.66177,1.77821348,19.454,1.1519,0.782873313,83.86908048
679.65686,1.776718247,13.028,2.6952,0.78294778,83.13528879
685.04902,1.796268382,20.018,2.854,0.784519503,76.1400803
656.12745,1.781044391,14.819,0.9176,0.786187175,82.10229745
631.37255,1.776312119,31.128,0.046,0.787061241,83.32298867
643.38235,1.778287261,28.104,6.2812,0.787719884,84.84697181
611.15196,1.769659118,34.853,14.605,0.787730953,72.79914224
616.54412,1.79341115,20.413,6.1186,0.788942456,80.837484
623.28432,1.787889748,30.624,9.7346,0.793639283,81.1344734
605.14706,1.777741758,31.101,6.2401,0.799451137,73.25624834
697.79412,1.803503884,19.476,1.6955,0.799947818,79.39755418
611.88726,1.777431905,32.936,11.1635,0.800579609,77.61274109
682.35294,1.78457561,12.957,4.7072,0.802751559,84.00050917
615.19608,1.754161769,27.688,3.759,0.80456242,73.69149247
611.88726,1.776016503,28.657,3.1726,0.806524191,75.88618568
674.26471,1.783483134,22.012,0.0411,0.807330133,81.74411735
624.63235,1.783261161,31.84,0.058,0.809608983,77.51375068
649.50981,1.785745055,31.66,2.5222,0.813870533,86.53129149
693.01471,1.790638543,14.869,3.2301,0.814059097,87.54602254
629.28922,1.796238015,30.849,8.9331,0.814938539,83.39271037
642.03432,1.790693868,26.603,5.1211,0.817534065,86.78659952
639.33824,1.802984577,20.396,9.2769,0.817857622,86.41991044
636.76471,1.781448633,34.842,4.4986,0.819394856,77.36358951
607.84314,1.780875671,34.821,10.1578,0.819755062,74.39519571
693.01471,1.789711446,14.77,1.5915,0.820916903,89.50739507
647.42647,1.781595871,35.609,5.0028,0.822914077,79.98639258
609.19118,1.786339918,34.662,9.2928,0.82434034,74.18866301
640.07353,1.786868307,32.958,8.5762,0.82599444,81.65384989
630.02451,1.782974198,36.541,9.3881,0.827117523,79.29514161
612.5,1.789000842,31.632,10.0434,0.828570752,77.47248879
639.33824,1.761900092,27.726,0.0389,0.828716504,77.20979863
693.75,1.791166079,22.029,0.0433,0.82877062,86.11852166
653.43137,1.809339467,20.248,3.6068,0.831113862,88.50692611
650.12255,1.791565338,32.224,5.8744,0.834444258,81.02061417
607.23039,1.798464025,33.593,12.984,0.834646248,77.51921331
645.46569,1.784813006,33.215,8.7415,0.835330152,82.12136637
611.15196,1.763476062,29.435,6.5478,0.83542815,75.36736942
631.9853,1.787760812,31.966,8.8313,0.836184313,80.61564371
635.41667,1.791332675,34.18,10.825,0.836612925,78.95317973
652.81863,1.803906637,31.101,1.7404,0.83759217,87.41004339
602.45098,1.794666102,30.547,9.5162,0.838812364,77.83766607
675,1.795009121,31.271,2.6848,0.839301548,92.08856915
600.4902,1.795872127,36.568,4.1482,0.840932847,76.78358993
692.40196,1.796371082,28.268,4.2188,0.841292523,94.34240387
646.81373,1.800930702,13.209,4.6623,0.842250143,78.29733933
618.62745,1.793078317,33.55,9.1625,0.842497055,76.92668558
666.91177,1.79019765,35.615,7.7221,0.846461188,83.84332838
658.21079,1.769578741,27.414,0.0389,0.847178995,80.80294898
630.63726,1.790519289,35.056,8.73,0.850019999,77.9380513
633.33333,1.795128971,34.755,9.6071,0.850730489,77.59193638
600.4902,1.768152252,32.3,1.9227,0.851574225,73.01221877
612.5,1.80352925,26.724,16.117,0.851593607,83.2507468
675.61275,1.815113753,20.319,11.9125,0.852017165,91.34348892
667.52451,1.794972869,33.046,5.5076,0.852410899,85.32579142
624.01961,1.797742421,32.218,10.4359,0.854244437,77.53681747
666.17647,1.792077366,36.809,5.7649,0.855577599,84.43244085
631.37255,1.771093373,29.589,9.6892,0.855939542,78.61987136
621.32353,1.795353647,34.021,10.7015,0.856059103,76.47907967
632.72059,1.798350562,31.66,12.545,0.856273299,80.78474058
690.44118,1.804559241,13.461,4.7915,0.856304328,85.50390177
668.25981,1.79941003,32.41,3.2575,0.857079543,84.62723307
648.16177,1.808553155,31.988,3.385,0.857257198,92.44723457
666.17647,1.84105868,17.668,6.5949,0.858475512,77.63430731
669.60784,1.811368434,30.783,11.1586,0.858694646,92.1022321
687.7451,1.793235806,32.974,4.6294,0.85949791,86.48054595
611.15196,1.818069984,16.26,9.7888,0.86014101,81.5340436
668.25981,1.79696707,31.879,9.9865,0.862059633,85.35078017
613.2353,1.804166387,30.717,7.8168,0.863204894,82.07688909
686.39706,1.846835448,17.076,2.1286,0.863834176,79.99483089
660.90686,1.795177361,28.636,2.6,0.864612996,84.27725668
602.45098,1.806205731,32.465,1.5773,0.864665045,73.16517879
672.91667,1.809149542,13.077,2.9268,0.866443874,85.43171937
678.92157,1.776457891,28.016,0.0378,0.866673404,82.56926301
691.66667,1.844234056,17.816,3.1003,0.867422391,79.52514523
693.01471,1.797585777,35.746,9.0508,0.86764442,87.92757002
667.52451,1.797379318,34.821,7.8513,0.867725465,85.23575771
638.72549,1.802763617,33.407,7.0159,0.869125788,81.37035237
670.95588,1.845772572,17.635,4.1542,0.869458289,77.50992925
691.05392,1.821488696,20.763,9.543,0.8702011,93.70353033
605.88235,1.779957893,29.578,9.5107,0.870613689,77.05117236
657.47549,1.798753097,35.237,9.2206,0.871658373,81.64433
625.98039,1.810885522,26.696,9.3306,0.871667672,86.93309156
642.76961,1.805332456,32.306,7.9061,0.873395933,80.65956209
664.21569,1.822239929,16.255,11.0398,0.874133171,88.0965311
689.09314,1.816409484,30.931,14.605,0.874655741,94.15833501
679.65686,1.805860832,32.854,2.9892,0.874779817,87.69046749
600.4902,1.80260471,16.156,2.8436,0.875700148,74.40473397
652.81863,1.777869991,29.419,6.3255,0.875770122,82.60716482
676.34804,1.847196628,17.23,2.9613,0.876146676,79.82336039
625.2451,1.776239803,32.383,0.0493,0.876289543,76.15010339
693.75,1.798996386,36.782,8.4141,0.87793279,88.67363651
699.7549,1.825908368,20.648,4.8238,0.879319659,96.0849094
653.43137,1.80722063,31.786,5.8749,0.8801594,84.01609706
680.26961,1.800238894,33.084,9.9098,0.880636344,89.66406682
623.28432,1.811111974,28.646,7.6039,0.880980433,81.13893373
667.52451,1.81685106,32.185,5.6576,0.881847767,96.01407745
620.58824,1.824716184,34.766,8.4574,0.88246571,79.28376203
672.30392,1.815653103,13.231,5.4025,0.883621391,83.53792506
664.82843,1.820243421,32.815,5.3094,0.883856875,91.82796359
690.44118,1.803423908,31.884,8.1968,0.884197194,89.36656986
627.94118,1.814024598,32.909,2.0492,0.88610376,76.07223954
644.73039,1.816549453,26.882,10.2104,0.889789588,89.30936987
622.67157,1.78699111,29.43,7.0942,0.89011065,80.4946172
670.95588,1.806058104,35.396,13.126,0.890268784,84.72276845
681.61765,1.808913001,34.601,4.1192,0.890461975,87.70895285
629.28922,1.793117855,27.841,2.3711,0.890507062,83.86837543
681.61765,1.826871607,16.528,11.8616,0.890533483,90.4118769
665.56373,1.818115033,33.714,8.7109,0.89099085,87.61494395
627.32843,1.815335484,12.989,5.3718,0.891814721,78.36410049
602.45098,1.804932366,28.197,2.4401,0.891869474,80.97484601
627.32843,1.816277449,28.767,9.007,0.892242333,82.50283821
617.27941,1.783842395,23.009,1.8368,0.8923847,74.25629884
656.86275,1.812954557,36.826,8.517,0.893583086,84.78399948
